Sample_no,시설ID,일,주차,내부CO2,내부습도,내부온도,일사량,급액횟수,급액EC(dS/m),급액pH,급액량(회당)
920,farm27,20181204,26,413.8216667,91.7420833,12.83375,206,9,2.74,5.34,119
920,farm27,20181205,26,351.3954167,89.63125,14.49625,675,9,2.71,5.19,118
920,farm27,20181206,26,334.965,90.71375,14.3708333,523,9,2.74,4.97,109
920,farm27,20181207,26,336.1633333,88.26375,14.84625,811,10,2.72,5.28,114
920,farm27,20181208,26,325.7325,85.6145833,15.73,948,10,2.77,4.87,129
920,farm27,20181209,26,314.0945833,91.22125,14.5916667,392,9,2.76,5.09,105
922,farm27,20181203,26,354.75625,88.3195833,14.0929167,567,9,2.7,5.04,127
922,farm27,20181204,26,413.8216667,91.7420833,12.83375,206,9,2.74,5.34,119
922,farm27,20181205,26,351.3954167,89.63125,14.49625,675,9,2.71,5.19,118
922,farm27,20181206,26,334.965,90.71375,14.3708333,523,9,2.74,4.97,109
922,farm27,20181207,26,336.1633333,88.26375,14.84625,811,10,2.72,5.28,114
922,farm27,20181208,26,325.7325,85.6145833,15.73,948,10,2.77,4.87,129
922,farm27,20181209,26,314.0945833,91.22125,14.5916667,392,9,2.76,5.09,105
923,farm27,20181203,26,354.75625,88.3195833,14.0929167,567,9,2.7,5.04,127
923,farm27,20181204,26,413.8216667,91.7420833,12.83375,206,9,2.74,5.34,119
923,farm27,20181205,26,351.3954167,89.63125,14.49625,675,9,2.71,5.19,118
923,farm27,20181206,26,334.965,90.71375,14.3708333,523,9,2.74,4.97,109
923,farm27,20181207,26,336.1633333,88.26375,14.84625,811,10,2.72,5.28,114
923,farm27,20181208,26,325.7325,85.6145833,15.73,948,10,2.77,4.87,129
923,farm27,20181209,26,314.0945833,91.22125,14.5916667,392,9,2.76,5.09,105
924,farm27,20181210,27,276.36875,90.80375,14.785,575,9,2.76,5.03,115
924,farm27,20181211,27,340.5595833,88.5004167,15.4879167,896,9,2.77,5.38,120
924,farm27,20181212,27,381.2683333,90.8670833,16.23625,649,10,2.7,5.18,125
924,farm27,20181213,27,415.0854167,94.1395833,14.4858333,318,9,2.7,5.41,109
924,farm27,20181214,27,393.0520833,91.10625,15.1333333,537,10,2.77,5.27,121
924,farm27,20181215,27,408.5679167,91.0666667,15.68875,631,10,2.73,5.13,124
924,farm27,20181216,27,383.96625,88.9941667,16.0329167,898,10,2.72,5.17,110
925,farm27,20181210,27,276.36875,90.80375,14.785,575,9,2.76,5.03,115
925,farm27,20181211,27,340.5595833,88.5004167,15.4879167,896,9,2.77,5.38,120
925,farm27,20181212,27,381.2683333,90.8670833,16.23625,649,10,2.7,5.18,125
925,farm27,20181213,27,415.0854167,94.1395833,14.4858333,318,9,2.7,5.41,109
925,farm27,20181214,27,393.0520833,91.10625,15.1333333,537,10,2.77,5.27,121
925,farm27,20181215,27,408.5679167,91.0666667,15.68875,631,10,2.73,5.13,124
925,farm27,20181216,27,383.96625,88.9941667,16.0329167,898,10,2.72,5.17,110
926,farm27,20181210,27,276.36875,90.80375,14.785,575,9,2.76,5.03,115
926,farm27,20181211,27,340.5595833,88.5004167,15.4879167,896,9,2.77,5.38,120
926,farm27,20181212,27,381.2683333,90.8670833,16.23625,649,10,2.7,5.18,125
926,farm27,20181213,27,415.0854167,94.1395833,14.4858333,318,9,2.7,5.41,109
926,farm27,20181214,27,393.0520833,91.10625,15.1333333,537,10,2.77,5.27,121
926,farm27,20181215,27,408.5679167,91.0666667,15.68875,631,10,2.73,5.13,124
926,farm27,20181216,27,383.96625,88.9941667,16.0329167,898,10,2.72,5.17,110
927,farm27,20181210,27,276.36875,90.80375,14.785,575,9,2.76,5.03,115
927,farm27,20181211,27,340.5595833,88.5004167,15.4879167,896,9,2.77,5.38,120
927,farm27,20181212,27,381.2683333,90.8670833,16.23625,649,10,2.7,5.18,125
927,farm27,20181213,27,415.0854167,94.1395833,14.4858333,318,9,2.7,5.41,109
927,farm27,20181214,27,393.0520833,91.10625,15.1333333,537,10,2.77,5.27,121
927,farm27,20181215,27,408.5679167,91.0666667,15.68875,631,10,2.73,5.13,124
927,farm27,20181216,27,383.96625,88.9941667,16.0329167,898,10,2.72,5.17,110
928,farm27,20181217,28,383.53375,88.0954167,16.18,942,9,2.76,5.06,104
928,farm27,20181218,28,329.4429167,90.2829167,14.7129167,500,9,2.77,5.32,126
928,farm27,20181219,28,299.1966667,91.7395833,14.6866667,552,9,2.76,5.2,123
928,farm27,20181220,28,306.245,86.9741667,14.6470833,927,10,2.71,5.47,126
928,farm27,20181221,28,304.8308333,88.0883333,13.8408333,380,9,2.8,5.13,122
928,farm27,20181222,28,258.20875,86.9775,15.1595833,880,9,2.72,5.33,107
928,farm27,20181223,28,266.8591667,87.4416667,15.6616667,947,9,2.78,5.03,123
930,farm27,20181217,28,383.53375,88.0954167,16.18,942,9,2.76,5.06,104
930,farm27,20181218,28,329.4429167,90.2829167,14.7129167,500,9,2.77,5.32,126
930,farm27,20181219,28,299.1966667,91.7395833,14.6866667,552,9,2.76,5.2,123
930,farm27,20181220,28,306.245,86.9741667,14.6470833,927,10,2.71,5.47,126
930,farm27,20181221,28,304.8308333,88.0883333,13.8408333,380,9,2.8,5.13,122
930,farm27,20181222,28,258.20875,86.9775,15.1595833,880,9,2.72,5.33,107
930,farm27,20181223,28,266.8591667,87.4416667,15.6616667,947,9,2.78,5.03,123
932,farm27,20181224,29,269.9504167,86.7266667,15.94625,963,5,2.69,5.9,110
932,farm27,20181225,29,272.7216667,90.4895833,14.17625,465,5,2.54,5.6,82
932,farm27,20181226,29,279.23875,89.90625,14.38,638,4,2.63,5.59,80
932,farm27,20181227,29,275.3416667,86.95375,15.7829167,958,7,2.64,5.58,87
932,farm27,20181228,29,293.0045833,89.8520833,13.2629167,299,4,2.64,5.56,80
932,farm27,20181229,29,277.7075,89.82875,15.31,792,6,2.69,5.76,90
932,farm27,20181230,29,299.7933333,88.2516667,16.0204167,964,7,2.67,5.55,88
933,farm27,20181224,29,269.9504167,86.7266667,15.94625,963,5,2.69,5.9,110
933,farm27,20181225,29,272.7216667,90.4895833,14.17625,465,5,2.54,5.6,82
933,farm27,20181226,29,279.23875,89.90625,14.38,638,4,2.63,5.59,80
933,farm27,20181227,29,275.3416667,86.95375,15.7829167,958,7,2.64,5.58,87
933,farm27,20181228,29,293.0045833,89.8520833,13.2629167,299,4,2.64,5.56,80
933,farm27,20181229,29,277.7075,89.82875,15.31,792,6,2.69,5.76,90
933,farm27,20181230,29,299.7933333,88.2516667,16.0204167,964,7,2.67,5.55,88
934,farm27,20181224,29,269.9504167,86.7266667,15.94625,963,5,2.69,5.9,110
934,farm27,20181225,29,272.7216667,90.4895833,14.17625,465,5,2.54,5.6,82
934,farm27,20181226,29,279.23875,89.90625,14.38,638,4,2.63,5.59,80
934,farm27,20181227,29,275.3416667,86.95375,15.7829167,958,7,2.64,5.58,87
934,farm27,20181228,29,293.0045833,89.8520833,13.2629167,299,4,2.64,5.56,80
934,farm27,20181229,29,277.7075,89.82875,15.31,792,6,2.69,5.76,90
934,farm27,20181230,29,299.7933333,88.2516667,16.0204167,964,7,2.67,5.55,88
937,farm27,20181231,30,295.3933333,88.1120833,15.9345833,891,9,2.69,5.63,79
937,farm27,20190101,30,291.3404167,90.2529167,14.9345833,617,4,2.56,5.7,91
937,farm27,20190102,30,264.3475,89.7191667,14.6929167,742,4,2.56,5.59,89
937,farm27,20190103,30,253.14125,90.8016667,14.9341667,619,4,2.6,5.56,86
937,farm27,20190104,30,330.7925,89.9625,15.715,843,5,2.56,5.63,91
937,farm27,20190105,30,441.1183333,89.645,15.7204167,815,6,2.69,5.8,82
937,farm27,20190106,30,455.5458333,87.7495833,15.7879167,939,7,2.7,5.56,84
938,farm27,20181231,30,295.3933333,88.1120833,15.9345833,891,9,2.69,5.63,79
938,farm27,20190101,30,291.3404167,90.2529167,14.9345833,617,4,2.56,5.7,91
938,farm27,20190102,30,264.3475,89.7191667,14.6929167,742,4,2.56,5.59,89
938,farm27,20190103,30,253.14125,90.8016667,14.9341667,619,4,2.6,5.56,86
938,farm27,20190104,30,330.7925,89.9625,15.715,843,5,2.56,5.63,91
938,farm27,20190105,30,441.1183333,89.645,15.7204167,815,6,2.69,5.8,82
938,farm27,20190106,30,455.5458333,87.7495833,15.7879167,939,7,2.7,5.56,84
939,farm27,20181231,30,295.3933333,88.1120833,15.9345833,891,9,2.69,5.63,79
939,farm27,20190101,30,291.3404167,90.2529167,14.9345833,617,4,2.56,5.7,91
939,farm27,20190102,30,264.3475,89.7191667,14.6929167,742,4,2.56,5.59,89
939,farm27,20190103,30,253.14125,90.8016667,14.9341667,619,4,2.6,5.56,86
939,farm27,20190104,30,330.7925,89.9625,15.715,843,5,2.56,5.63,91
939,farm27,20190105,30,441.1183333,89.645,15.7204167,815,6,2.69,5.8,82
939,farm27,20190106,30,455.5458333,87.7495833,15.7879167,939,7,2.7,5.56,84
941,farm27,20190107,31,489.7891667,87.2516667,15.7316667,914,7,2.7,5.56,85
941,farm27,20190108,31,484.8208333,89.3441667,15.11125,671,5,2.6,5.66,81
941,farm27,20190109,31,465.2216667,86.9475,15.7625,1050,14,2.95,5.53,69
941,farm27,20190110,31,516.5120833,87.4933333,15.92125,915,9,2.66,5.71,80
941,farm27,20190111,31,528.9495833,85.6629167,15.6858333,994,12,2.97,5.73,66
941,farm27,20190112,31,534.6333333,89.8670833,14.4975,475,5,2.61,5.66,87
941,farm27,20190113,31,506.3079167,88.1970833,15.31875,974,12,2.96,5.66,68
942,farm27,20190107,31,489.7891667,87.2516667,15.7316667,914,7,2.7,5.56,85
942,farm27,20190108,31,484.8208333,89.3441667,15.11125,671,5,2.6,5.66,81
942,farm27,20190109,31,465.2216667,86.9475,15.7625,1050,14,2.95,5.53,69
942,farm27,20190110,31,516.5120833,87.4933333,15.92125,915,9,2.66,5.71,80
942,farm27,20190111,31,528.9495833,85.6629167,15.6858333,994,12,2.97,5.73,66
942,farm27,20190112,31,534.6333333,89.8670833,14.4975,475,5,2.61,5.66,87
942,farm27,20190113,31,506.3079167,88.1970833,15.31875,974,12,2.96,5.66,68
943,farm27,20190107,31,489.7891667,87.2516667,15.7316667,914,7,2.7,5.56,85
943,farm27,20190108,31,484.8208333,89.3441667,15.11125,671,5,2.6,5.66,81
943,farm27,20190109,31,465.2216667,86.9475,15.7625,1050,14,2.95,5.53,69
943,farm27,20190110,31,516.5120833,87.4933333,15.92125,915,9,2.66,5.71,80
943,farm27,20190111,31,528.9495833,85.6629167,15.6858333,994,12,2.97,5.73,66
943,farm27,20190112,31,534.6333333,89.8670833,14.4975,475,5,2.61,5.66,87
943,farm27,20190113,31,506.3079167,88.1970833,15.31875,974,12,2.96,5.66,68
944,farm27,20190114,32,481.4466667,86.4383333,16.6079167,1092,12,2.85,5.62,76
944,farm27,20190115,32,558.945,86.1654167,16.5695833,1030,14,2.85,5.61,71
944,farm27,20190116,32,528.8808333,86.9033333,15.9629167,1026,14,2.93,5.59,68
944,farm27,20190117,32,458.3204167,85.39,16.0191667,1134,13,2.92,5.73,78
944,farm27,20190118,32,457.5220833,89.0879167,14.4541667,641,5,2.52,5.55,88
944,farm27,20190119,32,440.6154167,86.1133333,15.4545833,1148,11,2.89,5.54,74
944,farm27,20190120,32,449.9633333,85.25,16.10125,1170,10,2.88,5.68,70
945,farm27,20190114,32,481.4466667,86.4383333,16.6079167,1092,12,2.85,5.62,76
945,farm27,20190115,32,558.945,86.1654167,16.5695833,1030,14,2.85,5.61,71
945,farm27,20190116,32,528.8808333,86.9033333,15.9629167,1026,14,2.93,5.59,68
945,farm27,20190117,32,458.3204167,85.39,16.0191667,1134,13,2.92,5.73,78
945,farm27,20190118,32,457.5220833,89.0879167,14.4541667,641,5,2.52,5.55,88
945,farm27,20190119,32,440.6154167,86.1133333,15.4545833,1148,11,2.89,5.54,74
945,farm27,20190120,32,449.9633333,85.25,16.10125,1170,10,2.88,5.68,70
946,farm27,20190114,32,481.4466667,86.4383333,16.6079167,1092,12,2.85,5.62,76
946,farm27,20190115,32,558.945,86.1654167,16.5695833,1030,14,2.85,5.61,71
946,farm27,20190116,32,528.8808333,86.9033333,15.9629167,1026,14,2.93,5.59,68
946,farm27,20190117,32,458.3204167,85.39,16.0191667,1134,13,2.92,5.73,78
946,farm27,20190118,32,457.5220833,89.0879167,14.4541667,641,5,2.52,5.55,88
946,farm27,20190119,32,440.6154167,86.1133333,15.4545833,1148,11,2.89,5.54,74
946,farm27,20190120,32,449.9633333,85.25,16.10125,1170,10,2.88,5.68,70
947,farm27,20190114,32,481.4466667,86.4383333,16.6079167,1092,12,2.85,5.62,76
947,farm27,20190115,32,558.945,86.1654167,16.5695833,1030,14,2.85,5.61,71
947,farm27,20190116,32,528.8808333,86.9033333,15.9629167,1026,14,2.93,5.59,68
947,farm27,20190117,32,458.3204167,85.39,16.0191667,1134,13,2.92,5.73,78
947,farm27,20190118,32,457.5220833,89.0879167,14.4541667,641,5,2.52,5.55,88
947,farm27,20190119,32,440.6154167,86.1133333,15.4545833,1148,11,2.89,5.54,74
947,farm27,20190120,32,449.9633333,85.25,16.10125,1170,10,2.88,5.68,70
948,farm27,20190128,34,491.1466667,86.4808333,16.26625,1213,10,2.84,5.64,69
948,farm27,20190129,34,457.2241667,84.1425,17.3675,1229,9,2.94,5.27,81
948,farm27,20190130,34,458.8320833,86.4516667,16.7716667,893,7,2.69,5.72,85
948,farm27,20190201,34,505.7975,84.17625,15.8766667,1160,8,2.88,4.92,86
948,farm27,20190202,34,549.3066667,85.8620833,16.02125,919,7,2.67,5.62,86
948,farm27,20190203,34,485.2804167,86.3333333,15.38375,928,7,2.69,5.55,88
950,farm27,20190128,34,491.1466667,86.4808333,16.26625,1213,10,2.84,5.64,69
950,farm27,20190129,34,457.2241667,84.1425,17.3675,1229,9,2.94,5.27,81
950,farm27,20190130,34,458.8320833,86.4516667,16.7716667,893,7,2.69,5.72,85
950,farm27,20190201,34,505.7975,84.17625,15.8766667,1160,8,2.88,4.92,86
950,farm27,20190202,34,549.3066667,85.8620833,16.02125,919,7,2.67,5.62,86
950,farm27,20190203,34,485.2804167,86.3333333,15.38375,928,7,2.69,5.55,88
952,farm27,20190204,35,501.13875,87.1995833,15.30875,894,9,2.66,5.62,81
952,farm27,20190205,35,500.35875,83.965,16.1870833,1244,8,2.81,4.82,91
952,farm27,20190206,35,516.505,83.29375,16.8195833,1292,7,2.8,5.06,91
952,farm27,20190209,35,549.5229167,98.25125,15.93875,890,4,2.52,5.75,87
952,farm27,20190210,35,566.6504167,100.0,17.5275,1453,12,2.9,5.56,67
953,farm27,20190204,35,501.13875,87.1995833,15.30875,894,9,2.66,5.62,81
953,farm27,20190205,35,500.35875,83.965,16.1870833,1244,8,2.81,4.82,91
953,farm27,20190206,35,516.505,83.29375,16.8195833,1292,7,2.8,5.06,91
953,farm27,20190209,35,549.5229167,98.25125,15.93875,890,4,2.52,5.75,87
953,farm27,20190210,35,566.6504167,100.0,17.5275,1453,12,2.9,5.56,67
954,farm27,20190204,35,501.13875,87.1995833,15.30875,894,9,2.66,5.62,81
954,farm27,20190205,35,500.35875,83.965,16.1870833,1244,8,2.81,4.82,91
954,farm27,20190206,35,516.505,83.29375,16.8195833,1292,7,2.8,5.06,91
954,farm27,20190209,35,549.5229167,98.25125,15.93875,890,4,2.52,5.75,87
954,farm27,20190210,35,566.6504167,100.0,17.5275,1453,12,2.9,5.56,67
955,farm27,20190204,35,501.13875,87.1995833,15.30875,894,9,2.66,5.62,81
955,farm27,20190205,35,500.35875,83.965,16.1870833,1244,8,2.81,4.82,91
955,farm27,20190206,35,516.505,83.29375,16.8195833,1292,7,2.8,5.06,91
955,farm27,20190209,35,549.5229167,98.25125,15.93875,890,4,2.52,5.75,87
955,farm27,20190210,35,566.6504167,100.0,17.5275,1453,12,2.9,5.56,67
956,farm27,20190311,40,541.7079167,80.8908333,16.9625,1263,11,2.73,5.59,88
956,farm27,20190312,40,505.9479167,82.50125,17.3795833,1742,15,2.67,4.18,93
956,farm27,20190313,40,524.6783333,91.11625,16.70875,414,9,2.68,5.67,98
956,farm27,20190314,40,503.395,91.2829167,16.1145833,607,9,2.69,5.76,90
956,farm27,20190315,40,494.5091667,84.4929167,16.72625,1881,14,2.67,4.13,97
956,farm27,20190316,40,496.9975,83.19125,16.7133333,1626,13,2.76,5.62,98
956,farm27,20190317,40,535.2091667,79.1125,17.2433333,2122,15,2.66,5.33,96
957,farm27,20190311,40,541.7079167,80.8908333,16.9625,1263,11,2.73,5.59,88
957,farm27,20190312,40,505.9479167,82.50125,17.3795833,1742,15,2.67,4.18,93
957,farm27,20190313,40,524.6783333,91.11625,16.70875,414,9,2.68,5.67,98
957,farm27,20190314,40,503.395,91.2829167,16.1145833,607,9,2.69,5.76,90
957,farm27,20190315,40,494.5091667,84.4929167,16.72625,1881,14,2.67,4.13,97
957,farm27,20190316,40,496.9975,83.19125,16.7133333,1626,13,2.76,5.62,98
957,farm27,20190317,40,535.2091667,79.1125,17.2433333,2122,15,2.66,5.33,96
958,farm27,20190311,40,541.7079167,80.8908333,16.9625,1263,11,2.73,5.59,88
958,farm27,20190312,40,505.9479167,82.50125,17.3795833,1742,15,2.67,4.18,93
958,farm27,20190313,40,524.6783333,91.11625,16.70875,414,9,2.68,5.67,98
958,farm27,20190314,40,503.395,91.2829167,16.1145833,607,9,2.69,5.76,90
958,farm27,20190315,40,494.5091667,84.4929167,16.72625,1881,14,2.67,4.13,97
958,farm27,20190316,40,496.9975,83.19125,16.7133333,1626,13,2.76,5.62,98
958,farm27,20190317,40,535.2091667,79.1125,17.2433333,2122,15,2.66,5.33,96
959,farm27,20190311,40,541.7079167,80.8908333,16.9625,1263,11,2.73,5.59,88
959,farm27,20190312,40,505.9479167,82.50125,17.3795833,1742,15,2.67,4.18,93
959,farm27,20190313,40,524.6783333,91.11625,16.70875,414,9,2.68,5.67,98
959,farm27,20190314,40,503.395,91.2829167,16.1145833,607,9,2.69,5.76,90
959,farm27,20190315,40,494.5091667,84.4929167,16.72625,1881,14,2.67,4.13,97
959,farm27,20190316,40,496.9975,83.19125,16.7133333,1626,13,2.76,5.62,98
959,farm27,20190317,40,535.2091667,79.1125,17.2433333,2122,15,2.66,5.33,96
960,farm27,20190318,41,513.7504167,81.7916667,17.7304167,1534,14,2.81,5.73,97
960,farm27,20190319,41,518.45125,78.1933333,18.0204167,1816,14,2.65,4.95,101
960,farm27,20190320,41,503.7508333,79.6754167,19.0041667,1829,15,2.7,4.62,100
960,farm27,20190321,41,461.80625,84.69125,18.3766667,1683,14,2.7,4.94,97
960,farm27,20190322,41,533.08125,82.5504167,18.2208333,1882,15,2.65,4.7,100
960,farm27,20190323,41,522.8158333,84.4904167,17.6175,1663,13,2.68,4.24,94
960,farm27,20190324,41,545.71875,83.8541667,17.5379167,1920,15,2.7,4.15,100
963,farm27,20190318,41,513.7504167,81.7916667,17.7304167,1534,14,2.81,5.73,97
963,farm27,20190319,41,518.45125,78.1933333,18.0204167,1816,14,2.65,4.95,101
963,farm27,20190320,41,503.7508333,79.6754167,19.0041667,1829,15,2.7,4.62,100
963,farm27,20190321,41,461.80625,84.69125,18.3766667,1683,14,2.7,4.94,97
963,farm27,20190322,41,533.08125,82.5504167,18.2208333,1882,15,2.65,4.7,100
963,farm27,20190323,41,522.8158333,84.4904167,17.6175,1663,13,2.68,4.24,94
963,farm27,20190324,41,545.71875,83.8541667,17.5379167,1920,15,2.7,4.15,100
964,farm27,20190325,42,539.3870833,87.7641667,24.66625,2108,15,2.67,4.35,89
964,farm27,20190326,42,528.3708333,87.4158333,23.6891667,2202,13,2.69,4.51,96
964,farm27,20190327,42,513.0579167,85.4383333,24.3708333,2231,13,2.64,4.58,89
964,farm27,20190328,42,511.895,86.41375,24.9229167,2107,15,2.68,4.32,97
964,farm27,20190329,42,516.6875,89.5133333,23.0291667,1475,14,2.79,5.63,86
964,farm27,20190330,42,523.1895833,86.8175,24.45625,2058,15,2.66,4.57,90
964,farm27,20190331,42,546.5154167,95.3945833,21.47,236,8,2.69,5.6,93
965,farm27,20190325,42,539.3870833,87.7641667,24.66625,2108,15,2.67,4.35,89
965,farm27,20190326,42,528.3708333,87.4158333,23.6891667,2202,13,2.69,4.51,96
965,farm27,20190327,42,513.0579167,85.4383333,24.3708333,2231,13,2.64,4.58,89
965,farm27,20190328,42,511.895,86.41375,24.9229167,2107,15,2.68,4.32,97
965,farm27,20190329,42,516.6875,89.5133333,23.0291667,1475,14,2.79,5.63,86
965,farm27,20190330,42,523.1895833,86.8175,24.45625,2058,15,2.66,4.57,90
965,farm27,20190331,42,546.5154167,95.3945833,21.47,236,8,2.69,5.6,93
966,farm27,20190325,42,539.3870833,87.7641667,24.66625,2108,15,2.67,4.35,89
966,farm27,20190326,42,528.3708333,87.4158333,23.6891667,2202,13,2.69,4.51,96
966,farm27,20190327,42,513.0579167,85.4383333,24.3708333,2231,13,2.64,4.58,89
966,farm27,20190328,42,511.895,86.41375,24.9229167,2107,15,2.68,4.32,97
966,farm27,20190329,42,516.6875,89.5133333,23.0291667,1475,14,2.79,5.63,86
966,farm27,20190330,42,523.1895833,86.8175,24.45625,2058,15,2.66,4.57,90
966,farm27,20190331,42,546.5154167,95.3945833,21.47,236,8,2.69,5.6,93
967,farm27,20190325,42,539.3870833,87.7641667,24.66625,2108,15,2.67,4.35,89
967,farm27,20190326,42,528.3708333,87.4158333,23.6891667,2202,13,2.69,4.51,96
967,farm27,20190327,42,513.0579167,85.4383333,24.3708333,2231,13,2.64,4.58,89
967,farm27,20190328,42,511.895,86.41375,24.9229167,2107,15,2.68,4.32,97
967,farm27,20190329,42,516.6875,89.5133333,23.0291667,1475,14,2.79,5.63,86
967,farm27,20190330,42,523.1895833,86.8175,24.45625,2058,15,2.66,4.57,90
967,farm27,20190331,42,546.5154167,95.3945833,21.47,236,8,2.69,5.6,93
968,farm27,20190401,43,466.8408333,88.8954167,24.26875,2023,14,2.69,4.17,86
968,farm27,20190402,43,541.02625,92.0991667,22.2045833,661,10,2.68,5.73,97
968,farm27,20190403,43,571.08125,94.7683333,21.1416667,459,10,2.68,5.73,96
968,farm27,20190404,43,419.4341667,90.8195833,24.0241667,1399,14,2.74,5.64,86
968,farm27,20190405,43,456.84,89.0379167,22.9520833,2303,13,2.68,5.05,89
968,farm27,20190406,43,471.4679167,89.0041667,23.2979167,1642,15,2.65,4.72,92
968,farm27,20190407,43,480.66375,93.11875,21.8325,788,10,2.71,5.73,89
970,farm27,20190401,43,466.8408333,88.8954167,24.26875,2023,14,2.69,4.17,86
970,farm27,20190402,43,541.02625,92.0991667,22.2045833,661,10,2.68,5.73,97
970,farm27,20190403,43,571.08125,94.7683333,21.1416667,459,10,2.68,5.73,96
970,farm27,20190404,43,419.4341667,90.8195833,24.0241667,1399,14,2.74,5.64,86
970,farm27,20190405,43,456.84,89.0379167,22.9520833,2303,13,2.68,5.05,89
970,farm27,20190406,43,471.4679167,89.0041667,23.2979167,1642,15,2.65,4.72,92
970,farm27,20190407,43,480.66375,93.11875,21.8325,788,10,2.71,5.73,89
971,farm27,20190401,43,466.8408333,88.8954167,24.26875,2023,14,2.69,4.17,86
971,farm27,20190402,43,541.02625,92.0991667,22.2045833,661,10,2.68,5.73,97
971,farm27,20190403,43,571.08125,94.7683333,21.1416667,459,10,2.68,5.73,96
971,farm27,20190404,43,419.4341667,90.8195833,24.0241667,1399,14,2.74,5.64,86
971,farm27,20190405,43,456.84,89.0379167,22.9520833,2303,13,2.68,5.05,89
971,farm27,20190406,43,471.4679167,89.0041667,23.2979167,1642,15,2.65,4.72,92
971,farm27,20190407,43,480.66375,93.11875,21.8325,788,10,2.71,5.73,89
974,farm27,20190408,44,471.22625,86.9325,22.7941667,2394,15,2.69,5.15,93
974,farm27,20190409,44,474.175,85.7679167,23.155,1923,15,2.64,5.46,96
974,farm27,20190410,44,441.0458333,89.34125,22.0375,1670,15,2.65,4.73,95
974,farm27,20190411,44,451.9679167,88.25,24.3866667,2362,15,2.66,4.24,88
974,farm27,20190412,44,391.59375,91.8416667,21.81,743,8,2.69,5.7,96
974,farm27,20190413,44,424.5604167,86.73,22.74625,2310,14,2.7,4.61,88
974,farm27,20190414,44,423.065,87.665,21.9841667,1456,13,2.77,5.75,98
977,farm27,20190415,45,416.8445833,85.2520833,23.23875,2293,15,2.7,4.54,94
977,farm27,20190416,45,369.38625,91.2120833,20.6183333,463,10,2.68,5.73,94
977,farm27,20190417,45,396.6641667,92.4266667,21.1316667,741,8,2.65,5.73,94
977,farm27,20190418,45,400.3383333,93.8795833,19.64125,550,8,2.68,5.61,87
977,farm27,20190419,45,396.3729167,95.4929167,19.03375,399,10,2.64,5.76,94
977,farm27,20190420,45,438.61875,89.0775,22.5683333,2116,13,2.69,4.26,95
977,farm27,20190421,45,460.9995833,89.5570833,20.8395833,1075,10,2.7,5.7,101
978,farm27,20190415,45,416.8445833,85.2520833,23.23875,2293,15,2.7,4.54,94
978,farm27,20190416,45,369.38625,91.2120833,20.6183333,463,10,2.68,5.73,94
978,farm27,20190417,45,396.6641667,92.4266667,21.1316667,741,8,2.65,5.73,94
978,farm27,20190418,45,400.3383333,93.8795833,19.64125,550,8,2.68,5.61,87
978,farm27,20190419,45,396.3729167,95.4929167,19.03375,399,10,2.64,5.76,94
978,farm27,20190420,45,438.61875,89.0775,22.5683333,2116,13,2.69,4.26,95
978,farm27,20190421,45,460.9995833,89.5570833,20.8395833,1075,10,2.7,5.7,101
979,farm27,20190415,45,416.8445833,85.2520833,23.23875,2293,15,2.7,4.54,94
979,farm27,20190416,45,369.38625,91.2120833,20.6183333,463,10,2.68,5.73,94
979,farm27,20190417,45,396.6641667,92.4266667,21.1316667,741,8,2.65,5.73,94
979,farm27,20190418,45,400.3383333,93.8795833,19.64125,550,8,2.68,5.61,87
979,farm27,20190419,45,396.3729167,95.4929167,19.03375,399,10,2.64,5.76,94
979,farm27,20190420,45,438.61875,89.0775,22.5683333,2116,13,2.69,4.26,95
979,farm27,20190421,45,460.9995833,89.5570833,20.8395833,1075,10,2.7,5.7,101
980,farm27,20190422,46,381.9779167,95.0966667,17.6825,172,9,2.68,5.69,97
980,farm27,20190423,46,404.5629167,91.07875,20.6566667,1483,14,2.8,5.73,100
980,farm27,20190424,46,429.7495833,88.0679167,23.6795833,2113,15,2.68,5.01,86
980,farm27,20190425,46,444.44375,85.705,24.3429167,2634,15,2.68,4.12,91
980,farm27,20190426,46,462.7704167,86.05875,25.2075,2576,14,2.68,4.98,93
980,farm27,20190427,46,463.2329167,83.3954167,23.4883333,2131,14,2.68,4.91,97
980,farm27,20190428,46,450.03625,82.8416667,23.7620833,2479,14,2.69,4.24,95
981,farm27,20190422,46,381.9779167,95.0966667,17.6825,172,9,2.68,5.69,97
981,farm27,20190423,46,404.5629167,91.07875,20.6566667,1483,14,2.8,5.73,100
981,farm27,20190424,46,429.7495833,88.0679167,23.6795833,2113,15,2.68,5.01,86
981,farm27,20190425,46,444.44375,85.705,24.3429167,2634,15,2.68,4.12,91
981,farm27,20190426,46,462.7704167,86.05875,25.2075,2576,14,2.68,4.98,93
981,farm27,20190427,46,463.2329167,83.3954167,23.4883333,2131,14,2.68,4.91,97
981,farm27,20190428,46,450.03625,82.8416667,23.7620833,2479,14,2.69,4.24,95
982,farm27,20190422,46,381.9779167,95.0966667,17.6825,172,9,2.68,5.69,97
982,farm27,20190423,46,404.5629167,91.07875,20.6566667,1483,14,2.8,5.73,100
982,farm27,20190424,46,429.7495833,88.0679167,23.6795833,2113,15,2.68,5.01,86
982,farm27,20190425,46,444.44375,85.705,24.3429167,2634,15,2.68,4.12,91
982,farm27,20190426,46,462.7704167,86.05875,25.2075,2576,14,2.68,4.98,93
